,Algorithm,Size,Memory Usage (Peak Bytes)_mean,Memory Usage (Peak Bytes)_std,Insertion CPU Time (s)_mean,Insertion CPU Time (s)_std,Total Insertion Steps_mean,Total Insertion Steps_std,Average Search Steps_mean,Average Search Steps_std,Search CPU Time (s)_mean,Search CPU Time (s)_std,Tree Height_mean,Tree Height_std,Max Search Steps_mean,Max Search Steps_std,Rotation Events_mean,Rotation Events_std,M parameter_mean,M parameter_std,Load Factor_mean,Load Factor_std,Total Collisions_mean,Total Collisions_std,Max Bucket Size_mean,Max Bucket Size_std,Min Bucket Size (non-empty)_mean,Min Bucket Size (non-empty)_std,Empty Buckets_mean,Empty Buckets_std,Std Dev of Bucket Lengths_mean,Std Dev of Bucket Lengths_std
0,Array Linear,50000,2209824.8,854.9451444390472,0.0220000000000001,0.004472135954999411,50000.0,0.0,24586.420703125,560.7726686695943,5.008,0.17767948671695302,,,,,,,,,,,,,,,,,,,,
1,Array Linear,100000,4436090.4,300.52753617599774,0.04799999999999608,0.00447213595500186,100000.0,0.0,50048.2265625,442.7225503387482,10.904,0.33455941176418735,,,,,,,,,,,,,,,,,,,,
2,Array Linear,500000,20359770.4,300.5275361758676,0.25399999999999245,0.011401754250992945,500000.0,0.0,250201.084765625,7697.59939132378,56.61600000000001,2.3874840313602075,,,,,,,,,,,,,,,,,,,,
3,Array Linear,1000000,41232250.4,300.5275361758676,0.5199999999999927,0.007071067811859064,1000000.0,0.0,508603.573046875,7950.821145406983,115.36200000000004,3.6104251827174076,,,,,,,,,,,,,,,,,,,,
4,"Hash Table (M=100, folding)",50000,7574190.8,33279.43604089467,2.2300000000000013,0.08631338250816267,12598240.0,0.0,248.587109375,5.218518390198773,0.01400000000000054,0.005477225575050712,,,,,,,100.0,0.0,500.0,0.0,49900.0,0.0,549.0,0.0,446.0,0.0,0.0,0.0,21.559220765138985,0.0
5,"Hash Table (M=100, folding)",100000,15217041.6,33258.38067014085,15.122000000000003,0.4366577607234314,50195597.0,0.0,501.5125,13.725067116272744,0.0280000000000086,0.004472135954998684,,,,,,,100.0,0.0,1000.0,0.0,99900.0,0.0,1090.0,0.0,922.0,0.0,0.0,0.0,30.19834432547586,0.0
6,"Hash Table (M=100, folding)",500000,76116864.0,0.0,565.574,5.120618126750083,1250960948.0,0.0,2510.665625,82.35784751359986,0.22000000000007275,0.012247448713533443,,,,,,,100.0,0.0,5000.0,0.0,499900.0,0.0,5163.0,0.0,4859.0,0.0,0.0,0.0,64.95352184446968,0.0
7,"Hash Table (M=100, folding)",1000000,152446464.0,0.0,2364.3633333333332,3.488729472650135,5002009727.0,0.0,4991.126953125,233.134328955158,0.4566666666669334,0.023094010767564028,,,,,,,100.0,0.0,10000.0,0.0,999900.0,0.0,10179.0,0.0,9714.0,0.0,0.0,0.0,100.96801473734143,0.0
8,"Hash Table (M=100, golden_ratio)",50000,7561394.6,345.6961093215065,2.045999999999998,0.024083189157585307,12594543.0,0.0,252.13046875,11.149527046197154,0.01199999999999794,0.004472135954998495,,,,,,,100.0,0.0,500.0,0.0,49900.0,0.0,549.0,0.0,463.0,0.0,0.0,0.0,19.77017956418201,0.0
9,"Hash Table (M=100, golden_ratio)",100000,15196049.6,103.75355415588612,14.880000000000006,0.6040281450396124,50186457.0,0.0,503.446484375,12.853663169525268,0.032000000000013476,0.0044721359549955075,,,,,,,100.0,0.0,1000.0,0.0,99900.0,0.0,1066.0,0.0,926.0,0.0,0.0,0.0,27.00259246813165,0.0
10,"Hash Table (M=100, golden_ratio)",500000,76116936.0,0.0,565.4240000000002,6.271868142746469,1250950517.0,0.0,2479.2984375,62.73077952949744,0.2140000000004874,0.005477225575254259,,,,,,,100.0,0.0,5000.0,0.0,499900.0,0.0,5135.0,0.0,4791.0,0.0,0.0,0.0,63.32724532142544,0.0
11,"Hash Table (M=100, golden_ratio)",1000000,152446536.0,0.0,2366.3566666666666,4.9657258616760735,5001982169.0,0.0,4986.815104166667,90.11477112801029,0.4566666666663271,0.005773502690972091,,,,,,,100.0,0.0,10000.0,0.0,999900.0,0.0,10283.0,0.0,9718.0,0.0,0.0,0.0,98.20071282837004,0.0
12,"Hash Table (M=100, modulo)",50000,7572041.2,25458.081137430552,2.093999999999999,0.14741099009232758,12597745.0,0.0,251.0015625,3.704456820600472,0.010000000000000281,2.9183486129549125e-15,,,,,,,100.0,0.0,500.0,0.0,49900.0,0.0,555.0,0.0,448.0,0.0,0.0,0.0,21.3283848427395,0.0
13,"Hash Table (M=100, modulo)",100000,15217536.0,50236.24062367738,14.51800000000001,0.2080144225768944,50193460.0,0.0,500.2796875,2.518705730191171,0.03200000000000212,0.010954451150108907,,,,,,,100.0,0.0,1000.0,0.0,99900.0,0.0,1059.0,0.0,927.0,0.0,0.0,0.0,29.48219801846532,0.0
14,"Hash Table (M=100, modulo)",500000,76139344.0,50266.80813419632,561.7060000000004,2.3888763048759127,1250948602.0,0.0,2472.709765625,105.49170051580398,0.2159999999998717,0.0089442719098703,,,,,,,100.0,0.0,5000.0,0.0,499900.0,0.0,5125.0,0.0,4821.0,0.0,0.0,0.0,63.02412236596397,0.0
15,"Hash Table (M=100, modulo)",1000000,152483930.66666666,64894.170256911784,2365.91,6.707003801997038,5001925461.0,0.0,5056.736979166667,117.5797434438377,0.4700000000011641,0.00999999999839929,,,,,,,100.0,0.0,10000.0,0.0,999900.0,0.0,10257.0,0.0,9706.0,0.0,0.0,0.0,92.24543349131164,0.0
16,"Hash Table (M=1000, folding)",50000,7624564.0,0.0,0.740000000000002,0.10630145812734519,4633228.0,0.0,91.851171875,2.750080246188034,0.007999999999999442,0.004472135954999267,,,,,,,1000.0,0.0,50.0,0.0,49627.0,0.0,289.0,0.0,1.0,0.0,627.0,0.0,81.34160067271851,0.0
17,"Hash Table (M=1000, folding)",100000,15248472.0,0.0,3.7459999999999978,0.06542170893519525,18882217.0,0.0,187.572265625,4.639596741680796,0.01399999999999578,0.005477225575051862,,,,,,,1000.0,0.0,100.0,0.0,99628.0,0.0,548.0,0.0,1.0,0.0,628.0,0.0,165.72396929834863,0.0
18,"Hash Table (M=1000, folding)",500000,76259416.0,0.0,210.10599999999937,3.4484822748566932,501507784.0,0.0,1020.253125,36.26720053534628,0.09200000000018917,0.004472135955097203,,,,,,,1000.0,0.0,500.0,0.0,499618.0,0.0,2768.0,0.0,1.0,0.0,618.0,0.0,866.8999757757523,0.0
19,"Hash Table (M=1000, folding)",1000000,152496608.0,0.0,934.7766666666677,2.58670317843569,2054982974.0,0.0,2047.623046875,27.509674381948436,0.19333333333512806,0.005773502690972085,,,,,,,1000.0,0.0,1000.0,0.0,999616.0,0.0,5702.0,0.0,1.0,0.0,616.0,0.0,1762.6587724230687,0.0
20,"Hash Table (M=1000, golden_ratio)",50000,7636444.0,0.0,0.32799999999999946,0.008366600265339313,1346328.0,0.0,25.28046875,0.7150739788917548,0.0020000000000003,0.00447213595500025,,,,,,,1000.0,0.0,50.0,0.0,49000.0,0.0,70.0,0.0,31.0,0.0,0.0,0.0,6.531156099803465,0.0
21,"Hash Table (M=1000, golden_ratio)",100000,15259332.0,0.0,1.1459999999999895,0.04669047011971832,5192684.0,0.0,49.8546875,1.0144868547651122,0.00400000000000204,0.005477225575054455,,,,,,,1000.0,0.0,100.0,0.0,99000.0,0.0,129.0,0.0,74.0,0.0,0.0,0.0,9.239480504876884,0.0
22,"Hash Table (M=1000, golden_ratio)",500000,76235296.0,0.0,34.739999999999846,0.7114421972309212,125966444.0,0.0,254.13359375,5.775035359328048,0.025999999999385143,0.005477225574714576,,,,,,,1000.0,0.0,500.0,0.0,499000.0,0.0,581.0,0.0,434.0,0.0,0.0,0.0,20.80596068438081,0.0
23,"Hash Table (M=1000, golden_ratio)",1000000,152622880.0,0.0,184.9200000000018,0.12489995997131322,501925725.0,0.0,498.3046875,21.558640463575045,0.05333333333328477,0.005773502689921867,,,,,,,1000.0,0.0,1000.0,0.0,999000.0,0.0,1100.0,0.0,916.0,0.0,0.0,0.0,29.179616172938257,0.0
24,"Hash Table (M=1000, modulo)",50000,7636884.0,0.0,0.2939999999999983,0.008944271909997373,1346146.0,0.0,26.22578125,0.6630213575418522,0.0,0.0,,,,,,,1000.0,0.0,50.0,0.0,49000.0,0.0,71.0,0.0,29.0,0.0,0.0,0.0,6.503229966716539,0.0
25,"Hash Table (M=1000, modulo)",100000,15261154.4,228.97336089613466,1.0419999999999932,0.0449444101084901,5191843.0,0.0,50.61328125,1.1883581975517636,0.008000000000001239,0.004472135955000273,,,,,,,1000.0,0.0,100.0,0.0,99000.0,0.0,128.0,0.0,72.0,0.0,0.0,0.0,9.148005247047031,0.0
26,"Hash Table (M=1000, modulo)",500000,76237041.2,199.45726359423074,34.49399999999971,0.5068826294126302,125970267.0,0.0,257.59453125,9.679236115036655,0.023999999999523382,0.005477225574423989,,,,,,,1000.0,0.0,500.0,0.0,499000.0,0.0,559.0,0.0,427.0,0.0,0.0,0.0,20.98890182930017,0.0
27,"Hash Table (M=1000, modulo)",1000000,152608600.0,0.0,183.19666666666726,0.682519840980433,501956984.0,0.0,498.119140625,10.225742572411383,0.04666666666525996,0.005773502689921891,,,,,,,1000.0,0.0,1000.0,0.0,999000.0,0.0,1124.0,0.0,910.0,0.0,0.0,0.0,30.231903678068303,0.0
28,"Hash Table (M=5000, folding)",50000,7881588.0,0.0,0.7060000000000013,0.00894427190999718,4633228.0,0.0,91.24375,1.980313399201657,0.00800000000000264,0.004472135955001055,,,,,,,5000.0,0.0,10.0,0.0,49627.0,0.0,289.0,0.0,1.0,0.0,4627.0,0.0,41.512542682904886,0.0
29,"Hash Table (M=5000, folding)",100000,15505496.0,0.0,3.8239999999999865,0.23028243528327938,18882217.0,0.0,192.544921875,5.577366881583736,0.01799999999999214,0.004472135955000272,,,,,,,5000.0,0.0,20.0,0.0,99628.0,0.0,548.0,0.0,1.0,0.0,4628.0,0.0,84.21927807812176,0.0
30,"Hash Table (M=5000, folding)",500000,76516440.0,0.0,210.92399999999992,3.130883261956135,501507784.0,0.0,1003.922265625,26.98743674132587,0.09400000000005092,0.0054772255749221494,,,,,,,5000.0,0.0,100.0,0.0,499618.0,0.0,2768.0,0.0,1.0,0.0,4618.0,0.0,436.2374509369869,0.0
31,"Hash Table (M=5000, folding)",1000000,152753632.0,0.0,941.4366666666677,8.744057029397156,2054982974.0,0.0,2080.1412760416665,93.66481148137176,0.2100000000015522,0.026457513113973475,,,,,,,5000.0,0.0,200.0,0.0,999616.0,0.0,5702.0,0.0,1.0,0.0,4616.0,0.0,883.9644730417621,0.0
32,"Hash Table (M=5000, golden_ratio)",50000,7987900.0,0.0,0.25199999999999995,0.01643167672515569,347639.0,0.0,6.044140625,0.17976497141069794,0.0019999999999996,0.0044721359549986855,,,,,,,5000.0,0.0,10.0,0.0,45000.0,0.0,23.0,0.0,1.0,0.0,0.0,0.0,3.009252398852579,0.0
33,"Hash Table (M=5000, golden_ratio)",100000,15590212.0,0.0,0.6560000000000059,0.021908902300207478,1194018.0,0.0,10.952734375,0.24809454512405665,0.00199999999999818,0.00447213595499551,,,,,,,5000.0,0.0,20.0,0.0,95000.0,0.0,37.0,0.0,6.0,0.0,0.0,0.0,4.196093421266976,0.0
34,"Hash Table (M=5000, golden_ratio)",500000,76576484.0,0.0,7.517999999999724,0.26023066690944213,25962479.0,0.0,51.079296875,1.6311018017795675,0.00600000000013092,0.005477225575171175,,,,,,,5000.0,0.0,100.0,0.0,495000.0,0.0,137.0,0.0,67.0,0.0,0.0,0.0,9.21908889207605,0.0
35,"Hash Table (M=5000, golden_ratio)",1000000,152865540.0,0.0,25.930000000000245,1.152952731035803,101949433.0,0.0,99.58528645833333,1.2953479769656653,0.010000000000824535,2.1004001872902236e-12,,,,,,,5000.0,0.0,200.0,0.0,995000.0,0.0,256.0,0.0,157.0,0.0,0.0,0.0,13.40795286387896,0.0
36,"Hash Table (M=5000, modulo)",50000,8035735.2,61436.94383023949,0.2340000000000007,0.024083189157583108,346451.0,0.0,6.154296875,0.13149188323408156,0.0,0.0,,,,,,,5000.0,0.0,10.0,0.0,45000.0,0.0,22.0,0.0,2.0,0.0,0.0,0.0,2.929231981253789,0.0
37,"Hash Table (M=5000, modulo)",100000,15589692.0,0.0,0.582000000000004,0.020493901531923427,1194268.0,0.0,10.947265625,0.20829416542617296,0.00399999999999636,0.005477225575046677,,,,,,,5000.0,0.0,20.0,0.0,95000.0,0.0,38.0,0.0,8.0,0.0,0.0,0.0,4.207992395430391,0.0
38,"Hash Table (M=5000, modulo)",500000,76573692.0,0.0,7.089999999999563,0.21667948680050597,25965839.0,0.0,51.25390625,1.7275868134829335,0.00799999999971982,0.004472135954842954,,,,,,,5000.0,0.0,100.0,0.0,495000.0,0.0,132.0,0.0,68.0,0.0,0.0,0.0,9.291695216697542,0.0
39,"Hash Table (M=5000, modulo)",1000000,152858524.0,0.0,24.636666666665747,0.15275252316455967,101933337.0,0.0,103.03255208333333,2.9690303201674415,0.010000000000824535,2.1004001872902236e-12,,,,,,,5000.0,0.0,200.0,0.0,995000.0,0.0,252.0,0.0,155.0,0.0,0.0,0.0,13.165667472635027,0.0
40,Árvore Balanceada,50000,7646258.4,2690.0016356872707,1.3279999999999998,0.08043631020876084,888621.0,0.0,14.8515625,0.02744818227061581,0.002,7.066569932870668e-17,18.0,0.0,18.0,0.0,34905.0,0.0,,,,,,,,,,,,,,
41,Árvore Balanceada,100000,15246062.4,960.7563687013308,2.9259999999999993,0.0328633534503099,1878911.0,0.0,15.93203125,0.05080753526445104,0.00249999999999992,1.7882921475924656e-16,20.0,0.0,19.0,0.0,69473.0,0.0,,,,,,,,,,,,,,
42,Árvore Balanceada,500000,76047796.8,674.8653198968196,17.669999999999995,0.4207730979993877,10570715.0,0.0,18.257421875,0.08312147548918983,0.00299999999999966,0.0006123724356956924,23.0,0.0,21.8,0.44721359549995765,347972.0,0.0,,,,,,,,,,,,,,
43,Árvore Balanceada,1000000,152048694.4,818.7483129743401,38.35400000000002,0.4690735549996266,22163434.0,0.0,19.3171875,0.08872864372228861,0.00319999999999932,0.0004472135955014564,24.0,0.0,22.8,0.44721359549995787,698812.0,0.0,,,,,,,,,,,,,,
44,Árvore Desbalanceada,50000,7653657.4,5823.380959545686,1.3439999999999999,0.15009996668887046,1029328.0,0.0,20.5421875,0.06815818608265704,0.00329999999999996,0.000670820393249978,38.0,0.0,33.6,1.9493588689617933,,,,,,,,,,,,,,,,
45,Árvore Desbalanceada,100000,15255240.8,4484.828112648333,2.766000000000002,0.041593268686170595,2151213.0,0.0,21.478515625,0.2608793090990843,0.00339999999999996,0.0006519202405202381,40.0,0.0,35.4,0.8944271909999161,,,,,,,,,,,,,,,,
46,Árvore Desbalanceada,500000,76058456.8,3273.5184740584714,16.29,0.4159927883990245,12027985.0,0.0,24.128125,0.2584243450022539,0.00439999999999992,0.0013416407864996892,44.0,0.0,37.6,0.8944271909999161,,,,,,,,,,,,,,,,
47,Árvore Desbalanceada,1000000,152063154.4,2992.5742764399342,36.43600000000002,1.7305577135709693,26077008.0,0.0,26.11171875,0.150107535916313,0.004599999999999179,0.0008215838362586495,53.0,0.0,42.8,3.563705936241092,,,,,,,,,,,,,,,,
